"id","nom_amenageur","siren_amenageur","contact_amenageur","nom_operateur","contact_operateur","telephone_operateur","nom_enseigne","id_station_itinerance","id_station_local","nom_station","implantation_station","adresse_station","code_insee_commune","code_dep","nbre_pdc","puissance_nominale","prise_type_ef","prise_type_2","prise_type_combo_ccs","prise_type_chademo","prise_type_autre","gratuit","paiement_acte","paiement_cb","paiement_autre","tarification","condition_acces","horaires","raccordement","date_mise_en_service","cable_t2_attache","consolidated_longitude","consolidated_latitude"
"781","LE ROUX LOISIRS","453386120","tech@domainedependruc.com","freshmile","gregoire.schaffhauser@freshmile.com","0368781435","reseau A","FR1EKAFD1","5b9d993c-4996-4fba-b010-3c9b58a8f8a4","camping pendruc Tregunc","Parking privé à usage public","camping pendruc 29910 TREGUNC","29293","29","2","7","true","true","false","false","false","false","true","true","false","0.40 kw/h","Accès libre","24/7","Indirect","2023-07-01","false","-3.8800000000","47.8400000000"
"867","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P89882136","89882136","R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo","56260","56","4","22.08","False","True","False","False","False","False","False","False","False",,"Accès libre","24/7","Direct","0000-00-00","True","-2.7813450000","47.6640630000"
"868","R3","902726488","info@r3-charge.fr","R3","exploitation@r3-charge.fr","0321509292","R3","FR3R3P89882136",,"R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo, 56000 Vannes","56260","56","4","22","false","true","false","false","false","false","true","true",,"0,36€/kWh","Accès libre","24/7","Direct","2024-10-23","false","-2.7813450000","47.6640630000"
"869","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P89882136","89882136","R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo","56260","56","4","22.08","False","True","False","False","False","False","False","False","False",,"Accès libre","24/7","Direct","0000-00-00","True","-2.7813450000","47.6640630000"
"870","R3","902726488","info@r3-charge.fr","R3","exploitation@r3-charge.fr","0321509292","R3","FR3R3P89882136",,"R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo, 56000 Vannes","56260","56","4","22","false","true","false","false","false","false","true","true",,"0,36€/kWh","Accès libre","24/7","Direct","2024-10-23","false","-2.7813450000","47.6640630000"
"1155","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P89882136","89882136","R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo","56260","56","4","150","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Direct","0000-00-00","False","-2.7813450000","47.6640630000"
"1156","R3","902726488","info@r3-charge.fr","R3","exploitation@r3-charge.fr","0321509292","R3","FR3R3P89882136",,"R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo, 56000 Vannes","56260","56","4","150","false","false","true","false","false","false","true","true",,"0,55€/kWh","Accès libre","24/7","Direct","2024-10-23","false","-2.7813450000","47.6640630000"
"1157","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P89882136","89882136","R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo","56260","56","4","150","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Direct","0000-00-00","False","-2.7813450000","47.6640630000"
"1158","R3","902726488","info@r3-charge.fr","R3","exploitation@r3-charge.fr","0321509292","R3","FR3R3P89882136",,"R3 - Vannes - Mr Meuble","Parking privé à usage public","parking Gemo, 56000 Vannes","56260","56","4","150","false","false","true","false","false","false","true","true",,"0,55€/kWh","Accès libre","24/7","Direct","2024-10-23","false","-2.7813450000","47.6640630000"
"1233","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","180","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","False","-1.6898820000","47.8520740000"
"1234","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","180","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","False","-1.6898820000","47.8520740000"
"1235","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","180","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","False","-1.6898820000","47.8520740000"
"1236","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","180","False","False","True","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","False","-1.6898820000","47.8520740000"
"1267","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","22.08","False","True","False","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","True","-1.6898820000","47.8520740000"
"1268","R3","902726488","kg@lastmilesolutions.com","R3","kg@lastmilesolutions.com","tel:+352-25-36-36-404","SPV COM","FR3R3P90882245","FR3R3P90882245","R3 - Bain-de-Bretagne - Buffalo Grill","Parking privé à usage public","8 rue de la Seine","35221","35","6","22.08","False","True","False","False","False","False","False","False","False",,"Accès libre","24/7","Indirect","0000-00-00","True","-1.6898820000","47.8520740000"
"1344","SARL Thouzeau LM","303486377","campingdelatorche@gmail.com","Evbox","frsupport@evbox.com","189960933","Reseau Evbox charge","FR44P2213465",,"Camping de la Torche","Parking privé à usage public","Roz An Tremen 29120 Plomeur","29171","29","2","22","true","true","false","false","false","false","true","true","false","0.33","Accès libre","24/7","Direct","2023-12-22",,"-4.3258380000","47.8326500000"
"2026","ELECTRIC 55 CHARGING","832489801","contact@e55c.com","ELECTRIC 55 CHARGING","contact@e55c.com","33975891501","ELECTRIC 55 CHARGING","FR55CPRNO35300F0UGERES","FR*55C*PRNO*35300*F0UGERES","RENAULT DEALER FOUGERES","Parking public","3, Rue des Combattants d'Afrique du Nord 35300 Fougères","35115","35","2","22.08","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",,"Accès libre","24/7","Indirect","2021-04-13",,"-1.1810230000","48.3485360000"
"2027","ELECTRIC 55 CHARGING","832489801","contact@e55c.com","ELECTRIC 55 CHARGING","contact@e55c.com","33975891501","ELECTRIC 55 CHARGING","FR55CPRNO35300F0UGERES","FR*55C*PRNO*35300*F0UGERES","RENAULT DEALER FOUGERES","Parking public","3, Rue des Combattants d'Afrique du Nord 35300 Fougères","35115","35","2","22.08","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",,"Accès libre","24/7","Indirect","2021-04-13",,"-1.1810230000","48.3485360000"
"2028","ELECTRIC 55 CHARGING","832489801","contact@e55c.com","ELECTRIC 55 CHARGING","contact@e55c.com","33975891501","ELECTRIC 55 CHARGING","FR55CPRNO35470BA1N","FR*55C*PRNO*35470*BA1N","RENAULT DEALER BAIN DE BRETAGNE","Parking public","6, rue Lanserva 35470 Bain-de-Bretagne","35012","35","2","22.08","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",,"Accès libre","24/7","Indirect","2021-10-04",,"-1.6837210000","47.8622330000"
"2029","ELECTRIC 55 CHARGING","832489801","contact@e55c.com","ELECTRIC 55 CHARGING","contact@e55c.com","33975891501","ELECTRIC 55 CHARGING","FR55CPRNO35470BA1N","FR*55C*PRNO*35470*BA1N","RENAULT DEALER BAIN DE BRETAGNE","Parking public","6, rue Lanserva 35470 Bain-de-Bretagne","35012","35","2","22.08","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",,"Accès libre","24/7","Indirect","2021-10-04",,"-1.6837210000","47.8622330000"
"4948","mbc","433188018","pierre.eon@wanadoo.fr","EVBOX","contact@evbox.com","02 23 25 08 86","MBC","Non concerné",,"MBC THORIGNE","Parking privé à usage public","3 avenur saint exupery 352","35334","35","2","22","true","true","false","false","false","false","true","true","true",,"Accès libre","MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00","Indirect","2021-10-14",,"-1.5900000000","48.1500000000"
"4949","ROUXEL MARINE","415183680","rouxelmarine@wanadoo.fr","EVBOX","contact@evbox.com","+‭33 1 41 44 70 47‬","EVBOX","Non concerné",,"BORNE ROUXEL MARINE","Parking privé à usage public","ROUTE DE SAINT CAST 22550","22143","22","2","22","true","true","false","false","false","false","true","true","true","0.50? 2.5 CONNECTION","Accès libre","MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00","Indirect","2021-11-12",,"-2.2800000000","48.6100000000"
"4950","christophe perry","413171711","christophe.perry@huissier-justice.fr","EVBOX","contact@evbox.com",,"EVBOX","FRAEVBP2011078",,"BORNE PERRY","Parking privé à usage public","10 rue des Princes","35085","35","1","22","true","true","false","false","false","false","true","true","true",,"Accès libre","MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00","Direct","2021-12-01",,"-1.7500000000","48.4100000000"
"4951","CHRISTOPHE PERRY","413171711","christophe.perry@huissier-justice.fr","EVBOX","contact@evbox.com",,"EVBOX","FRAEVBP2022531",,"BORNE CHRISTOPHE PERRY","Parking privé à usage public","10 rue des Princes","35085","35","1","22","true","true","false","false","false","false","true","true","true","0.50? 2.5 CONNECTION","Accès libre","MO-FR 08:00-12:00, MO-FR 14:00-18:00,TH 08:00-19:00","Direct","2021-12-01",,"-1.7500000000","48.4100000000"
"5744","Allego","842718512","fabien.lepeytre@allego.eu","Green To Wheel","info.allego.france@allego.eu","01 40 70 06 17","ALLEGO","FRSITE00000009",,"CASINO LANESTER","Parking privé à usage public","78 Avenue Ambroise Croizat56600 LANESTER","56098","56","14","22","true","true","false","false","false","false","false","false","true","49 cts/kWh","Accès libre","24/7","Direct","2021-11-22",,"-3.3447835000","47.7762883000"
"5746","Allego","842718512","mathieu.laneelle@allego.eu","Allego","fabien.lepeytre@allego.eu","tel:+33-6-22-53-03-38","Allego - Carrefour Lanester","FRALLPGO002080","FRALLPGO002080","Allego - Carrefour Lanester","Station dédiée à la recharge rapide","78 Avenue Ambroise Croizat","56098","56","2","22","True","True","False","False","False","False","True","True","True",,"Accès libre","24/7","Direct","2021-11-22","False","-3.3447835000","47.7762883000"
"5747","Allego","842718512","fabien.lepeytre@allego.eu","Green To Wheel","info.allego.france@allego.eu","01 40 70 06 17","ALLEGO","FRSITE00000009",,"CASINO LANESTER","Parking privé à usage public","78 Avenue Ambroise Croizat56600 LANESTER","56098","56","14","22","true","true","false","false","false","false","false","false","true","49 cts/kWh","Accès libre","24/7","Direct","2021-11-22",,"-3.3447835000","47.7762883000"
"5749","Allego","842718512","mathieu.laneelle@allego.eu","Allego","fabien.lepeytre@allego.eu","tel:+33-6-22-53-03-38","Allego - Carrefour Lanester","FRALLPGO002080","FRALLPGO002080","Allego - Carrefour Lanester","Station dédiée à la recharge rapide","78 Avenue Ambroise Croizat","56098","56","2","22","True","True","False","False","False","False","True","True","True",,"Accès libre","24/7","Direct","2021-11-22","False","-3.3447835000","47.7762883000"
